"manifest_schema_id","total_protocol_id","r_only_protocol_id","audit_id","data_id","path_id","route_id","seed_index","original_fit_seed","continuation_seed","initialization_independence_id","audit_stage","start_state_policy","additional_T1_sweeps_policy","target_cumulative_T1","fixed_horizon_ignores_intermediate_strict_stop","sequential_from_verified_state","main_endpoint_replaced","main_selection_reopened","counterfactual_selection_only","main_error_policy","truth_available_to_continuation","truth_available_to_counterfactual_selection","formal_continuation_started","terminal_record_required"
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_04_to_400","v0lv_03","R","random__pre1__anneal_default",4,82620304,82620304,"v0lv_03__R__82620304","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_04_to_800","v0lv_03","R","random__pre1__anneal_default",4,82620304,82620304,"v0lv_03__R__82620304","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_05_anchor_200","v0lv_03","R","random__pre1__anneal_default",5,82620305,82620305,"v0lv_03__R__82620305","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_05_to_400","v0lv_03","R","random__pre1__anneal_default",5,82620305,82620305,"v0lv_03__R__82620305","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_05_to_800","v0lv_03","R","random__pre1__anneal_default",5,82620305,82620305,"v0lv_03__R__82620305","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_06_anchor_200","v0lv_03","R","random__pre1__anneal_default",6,82620306,82620306,"v0lv_03__R__82620306","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_06_to_400","v0lv_03","R","random__pre1__anneal_default",6,82620306,82620306,"v0lv_03__R__82620306","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_06_to_800","v0lv_03","R","random__pre1__anneal_default",6,82620306,82620306,"v0lv_03__R__82620306","to_800","verified_audit_state_400","400",800,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_07_anchor_200","v0lv_03","R","random__pre1__anneal_default",7,82620307,82620307,"v0lv_03__R__82620307","anchor_200","main_endpoint_or_verified_main_200","max(0,200-main_actual_T1)",200,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
"V0LV_MANIFEST_SCHEMA_V3_CANDIDATE2_20260812","V0LV_UNSEEN_VALIDATION_V2_CANDIDATE2_20260812","R_ONLY_MULTISTART_V3_CANDIDATE2_20260812","v0lv_03_R_07_to_400","v0lv_03","R","random__pre1__anneal_default",7,82620307,82620307,"v0lv_03__R__82620307","to_400","verified_audit_anchor_200","200",400,TRUE,TRUE,FALSE,FALSE,TRUE,"audit_unavailable_due_to_main_error_no_rerun",FALSE,FALSE,FALSE,TRUE
