"fit_config_id","reference_fit_id","role_id","candidate_fit_id","candidate_seed_index","mean_squared_canonical_correlation","minimum_canonical_correlation","reference_rank","candidate_rank"
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__01",1,0.999961816767185,0.999980908201344,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__02",2,0.999999977087713,0.999999988543857,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__03",3,1,1,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__04",4,2.52733472786305e-12,1.58975933017015e-06,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__05",5,0.999960974788931,0.999980487204091,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__06",6,0.999999653943813,0.999999826971891,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__07",7,0.999999978212125,0.999999989106063,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__08",8,5.7783691006229e-09,7.60155845904174e-05,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__09",9,2.67543317053123e-09,5.17245896120136e-05,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__10",10,0.999999978582146,0.999999989291073,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__11",11,0.999999990410787,0.999999995205394,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","A","g12s6a_01__truth_L1_M2__12",12,0.999957758144981,0.999978878849439,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__01",1,0.99999949745641,0.999999748728174,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__02",2,0.999999767763594,0.999999883881791,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__03",3,1,1,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__04",4,0.0867009574187939,0.294450263064569,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__05",5,0.999956234010552,0.999978116765838,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__06",6,0,0,1,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__07",7,0.99999985136869,0.999999925684342,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__08",8,1.69880197650143e-11,4.12165255268009e-06,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__09",9,2.30866359783259e-09,4.80485545862994e-05,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__10",10,0.999999427090913,0.999999713545415,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__11",11,0.999999282736673,0.999999641368272,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B1","g12s6a_01__truth_L1_M2__12",12,0.999999946244889,0.999999973122444,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__01",1,0.999999750958139,0.999999875479062,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__02",2,0,0,1,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__03",3,0.999999999999999,1,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__04",4,2.04432072240445e-08,0.000142979744103997,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__05",5,0.999999948452226,0.999999974226113,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__06",6,0.999999804283576,0.999999902141783,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__07",7,0,0,1,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__08",8,2.32972848021237e-07,0.000482672609561841,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__09",9,2.0925401152636e-07,0.000457442905209339,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__10",10,0,0,1,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__11",11,0.999999990534699,0.99999999526735,1,1
"truth_L1_M2","g12s6a_01__truth_L1_M2__03","B2","g12s6a_01__truth_L1_M2__12",12,1.92357194607957e-05,0.00438585447328063,1,1
