"fit_id","fit_config_id","seed_index","final_elbo","practical_converged","role_id","block","study","candidate_id","candidate_factor","factor_ppi","ppi_retained_0_5","expected_active_loading_count","loading_l2","zero_loading_direction","loading_rms","factor_process_rms","complete_contribution_rms","subject_weight","weighted_contribution_energy","rank_cap","effective_M_99pct","weighted_contribution_share"
"g12s6a_01__truth_L1_M2__07","truth_L1_M2",7,-129913.505289058,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,49.1800699282359,7.80125825740951,FALSE,0.348882875471984,0.993412511294717,0.346584613470346,0.5,0.0600604471471947,2,2,0.484908540364603
"g12s6a_01__truth_L1_M2__07","truth_L1_M2",7,-129913.505289058,TRUE,"B2","specific",2,"B2_1",1,4.14656580183248e-08,FALSE,4.14656592537663e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__truth_L1_M2__08","truth_L1_M2",8,-131428.662434278,TRUE,"A","shared",0,"A_1",1,1,TRUE,49.0491024984549,5.52561535440568,FALSE,0.247113030999354,0.991260878529816,0.244953480204585,1,0.060002207464338,2,2,0.479084348495818
"g12s6a_01__truth_L1_M2__08","truth_L1_M2",8,-131428.662434278,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,50.3714077140672,5.75625818053499,FALSE,0.25742769175431,1.00734765574982,0.259319181813792,0.5,0.0336232190282873,2,2,0.268462756008987
"g12s6a_01__truth_L1_M2__08","truth_L1_M2",8,-131428.662434278,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,49.1613683353993,5.58389890828621,FALSE,0.249719550768297,1.00700181572474,0.251468041045642,0.5,0.0316180878336662,2,2,0.252452895495195
"g12s6a_01__truth_L1_M2__09","truth_L1_M2",9,-130515.913172647,TRUE,"A","shared",0,"A_1",1,1,TRUE,48.8935464723448,5.53611804723909,FALSE,0.2475827257018,0.991192111863106,0.245402044749191,1,0.060222163567084,2,2,0.482665593696124
"g12s6a_01__truth_L1_M2__09","truth_L1_M2",9,-130515.913172647,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,50.3641837293219,5.72540119690135,FALSE,0.256047725494602,1.00190881774047,0.256536473935434,0.5,0.0329054812296128,2,2,0.263729210191123
"g12s6a_01__truth_L1_M2__09","truth_L1_M2",9,-130515.913172647,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,49.0150351193147,5.58634502796138,FALSE,0.249828944565792,1.00694633276246,0.25156433954844,0.5,0.0316423084662213,2,2,0.253605196112753
"g12s6a_01__truth_L1_M2__10","truth_L1_M2",10,-129889.940008038,TRUE,"A","shared",0,"A_1",1,1,TRUE,50.2654593844075,5.62654599253391,FALSE,0.251626786356697,1.00387276944209,0.252601278885711,1,0.0638074060946965,2,2,0.515656234502643
"g12s6a_01__truth_L1_M2__10","truth_L1_M2",10,-129889.940008038,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,49.4057563643729,7.79680299713844,FALSE,0.348683630175513,0.992923305669869,0.346216102706841,0.5,0.0599327948867568,2,2,0.484343765497357
"g12s6a_01__truth_L1_M2__10","truth_L1_M2",10,-129889.940008038,TRUE,"B2","specific",2,"B2_1",1,4.14656220470988e-08,FALSE,4.14656234797118e-08,0,TRUE,0,0,0,0.5,0,2,2,0
"g12s6a_01__truth_L1_M2__11","truth_L1_M2",11,-121923.013316297,TRUE,"A","shared",0,"A_1",1,1,TRUE,50.2970660479259,5.63230686766507,FALSE,0.25188442052476,1.0040472008259,0.25290384735954,1,0.0639603560092573,2,2,0.344553308934896
"g12s6a_01__truth_L1_M2__11","truth_L1_M2",11,-121923.013316297,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,49.2480758834387,7.82628884063759,FALSE,0.350002277184274,0.992179844920673,0.347265205098575,0.5,0.0602965613360777,2,2,0.324816511695691
"g12s6a_01__truth_L1_M2__11","truth_L1_M2",11,-121923.013316297,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,48.8005119444958,7.29555074364757,FALSE,0.326266947921902,1.07384200369038,0.350359153094399,0.5,0.0613757680785124,2,2,0.330630179369413
"g12s6a_01__truth_L1_M2__12","truth_L1_M2",12,-130599.998060207,TRUE,"A","shared",0,"A_1",1,1,TRUE,50.7237535615766,9.79712159114237,FALSE,0.438140597232505,1.10766493782288,0.485312977391223,1,0.235528686024333,2,2,0.777075073589735
"g12s6a_01__truth_L1_M2__12","truth_L1_M2",12,-130599.998060207,TRUE,"B1","specific",1,"B1_1",1,1,TRUE,48.9791824922633,7.83507907745101,FALSE,0.350395388525336,0.992898489270425,0.34790705191413,0.5,0.0605196583857905,2,2,0.199671296042916
"g12s6a_01__truth_L1_M2__12","truth_L1_M2",12,-130599.998060207,TRUE,"B2","specific",2,"B2_1",1,1,TRUE,47.4707664075356,2.62670249893151,FALSE,0.117469706885588,1.01070615536551,0.118727355818246,0.5,0.00704809250979621,2,2,0.0232536303673486
