"fit_config_id","fit_id","seed_index","role_id","candidate_count","pair_count","maximum_within_role_abs_cosine","pairs_ge_0_8","pairs_ge_0_9","pairs_ge_0_95"
"truth_L1_M2","g12s6a_01__truth_L1_M2__01",1,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__02",2,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__03",3,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__04",4,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__05",5,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__06",6,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__07",7,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__08",8,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__09",9,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__10",10,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__11",11,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__12",12,"B1",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__01",1,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__02",2,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__03",3,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__04",4,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__05",5,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__06",6,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__07",7,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__08",8,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__09",9,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__10",10,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__11",11,"B2",1,0,0,0,0,0
"truth_L1_M2","g12s6a_01__truth_L1_M2__12",12,"B2",1,0,0,0,0,0
