"fit_id","data_id","method_id","seed_index","t1_sweeps","exact_correct_1_1_1","strict_practical_converged","original_longest_streak","quantile_factor_alternative_ever_5","output_only_quantile_factor_ever_5","endpoint_objective_pass","endpoint_fitted_gate_pass","endpoint_rss_gate_pass","endpoint_ppi_max_gate_pass","endpoint_ppi_quantile_factor_gate_pass","minimum_gate_groups_removed_for_5_streak","minimal_removed_gate_sets","remove_objective_alone_reaches_5","remove_fitted_alone_reaches_5","remove_rss_alone_reaches_5","remove_ppi_max_alone_reaches_5","endpoint_ppi_max_abs","endpoint_ppi_quantile_abs","endpoint_factor_ppi_max_abs","endpoint_long_ppi_max_abs","endpoint_long_ppi_quantile_abs","endpoint_long_factor_ppi_max_abs"
"g12ic_01__G12IC__current_1_over_m__11","g12ic_01","current_1_over_m",11,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.00685653734203256,0.00032550087990953,0,0.0234286165262145,0.00107376077468757,0
"g12ic_01__G12IC__current_1_over_m__12","g12ic_01","current_1_over_m",12,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00804466151611988,0.000164305857370171,2.99438251971651e-12,0.0263912330295233,0.000549852559259646,4.15577572354664e-11
"g12ic_01__G12IC__gram_unit_energy__01","g12ic_01","gram_unit_energy",1,200,TRUE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00786001300255867,0.000280357161442276,0,0.0259740452100353,0.000950373521201666,0
"g12ic_01__G12IC__gram_unit_energy__02","g12ic_01","gram_unit_energy",2,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2,"rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.00975817686259622,0.000415987840761984,0,0.0374953590698431,0.00138396690269047,0
"g12ic_01__G12IC__gram_unit_energy__03","g12ic_01","gram_unit_energy",3,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.00428804438894459,0.000216150670841693,9.13125131063452e-12,0.0143017115535401,0.000871744077315842,1.09099729250772e-10
"g12ic_01__G12IC__gram_unit_energy__04","g12ic_01","gram_unit_energy",4,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00945100662327136,0.000323667954486233,0,0.0331489587903638,0.00113714853966675,0
"g12ic_01__G12IC__gram_unit_energy__05","g12ic_01","gram_unit_energy",5,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2,"rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.00835096328150525,0.000286127786815655,0,0.0259619714261256,0.000946676348987867,0
"g12ic_01__G12IC__gram_unit_energy__06","g12ic_01","gram_unit_energy",6,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.012339627593165,0.000220801680233441,9.56712487010236e-12,0.0401723429954983,0.000760976166148362,6.04296612749522e-11
"g12ic_01__G12IC__gram_unit_energy__07","g12ic_01","gram_unit_energy",7,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0143586012400804,0.000291651431895567,0,0.0501806674199858,0.000995762592454208,0
"g12ic_01__G12IC__gram_unit_energy__08","g12ic_01","gram_unit_energy",8,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.00781201775699564,0.000448135678143199,2.95252711168814e-12,0.0351760669881001,0.00159448753697004,4.00453004090195e-11
"g12ic_01__G12IC__gram_unit_energy__09","g12ic_01","gram_unit_energy",9,200,TRUE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00831612784670899,0.00026644235434654,0,0.0272124684475756,0.000904669730776498,0
"g12ic_01__G12IC__gram_unit_energy__10","g12ic_01","gram_unit_energy",10,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2,"rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.00814758488808243,0.000313301614342103,0,0.0267406965909583,0.00105276691778067,0
"g12ic_01__G12IC__gram_unit_energy__11","g12ic_01","gram_unit_energy",11,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.012122199740787,0.0002817341512755,0,0.0836429294832983,0.00127587620604268,0
"g12ic_01__G12IC__gram_unit_energy__12","g12ic_01","gram_unit_energy",12,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0111480657041189,0.000248652668769501,2.88202794962444e-12,0.034491575689315,0.000856803432073466,3.8429703863585e-11
"g12ic_02__G12IC__current_1_over_m__01","g12ic_02","current_1_over_m",1,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0549300827711569,0.00129401805016619,0,0.144138958376715,0.00398616162700347,0
"g12ic_02__G12IC__current_1_over_m__02","g12ic_02","current_1_over_m",2,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.0110286548807447,0.000503521294901044,0,0.0405769787123935,0.00163885331854798,0
"g12ic_02__G12IC__current_1_over_m__03","g12ic_02","current_1_over_m",3,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0320291589687466,0.000900615727368717,2.89457346980271e-12,0.155614154427525,0.0029354329022169,4.06891187409997e-11
"g12ic_02__G12IC__current_1_over_m__04","g12ic_02","current_1_over_m",4,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.0185247058944663,0.000701969215576832,2.98538971321705e-12,0.0745219302752942,0.00232712810313003,3.01043634465259e-11
"g12ic_02__G12IC__current_1_over_m__05","g12ic_02","current_1_over_m",5,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00923997065233029,0.000280780185776932,3.66218166902854e-12,0.0315797727354832,0.000934631384556086,4.31752411600428e-11
"g12ic_02__G12IC__current_1_over_m__06","g12ic_02","current_1_over_m",6,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00803849456893035,0.000156899080268009,2.94619884044778e-12,0.0261465207609223,0.000509870237299203,3.96687127590667e-11
"g12ic_02__G12IC__current_1_over_m__07","g12ic_02","current_1_over_m",7,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0258253184229527,0.00084995589147056,7.74347252985308e-12,0.0706971224307822,0.00254637586851957,4.38559188964405e-11
"g12ic_02__G12IC__current_1_over_m__08","g12ic_02","current_1_over_m",8,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.0165723043561887,0.000774262381499425,2.9091173914253e-12,0.0595572091088926,0.00260806278178383,4.10315115217941e-11
"g12ic_02__G12IC__current_1_over_m__09","g12ic_02","current_1_over_m",9,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,2,"fitted+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0116446316834473,0.000325331580668279,0,0.0492206171360446,0.00105443991065455,0
"g12ic_02__G12IC__current_1_over_m__10","g12ic_02","current_1_over_m",10,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00681361708324912,0.000287064171849308,2.6914026562963e-12,0.022499771529683,0.000969045253342764,3.8222314202585e-11
"g12ic_02__G12IC__current_1_over_m__11","g12ic_02","current_1_over_m",11,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.0088423692573838,0.000226635473555644,2.79154477311749e-12,0.029135761996793,0.000764132059317101,3.93071131199463e-11
"g12ic_02__G12IC__current_1_over_m__12","g12ic_02","current_1_over_m",12,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0136031489655603,0.00031730228254086,3.83915121915379e-13,0.0611311236679234,0.00109816190353378,3.03023162118166e-11
"g12ic_02__G12IC__gram_unit_energy__01","g12ic_02","gram_unit_energy",1,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0331034724676608,0.000984845154904308,0,0.124402843270241,0.00347518072464178,0
"g12ic_02__G12IC__gram_unit_energy__02","g12ic_02","gram_unit_energy",2,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.0129687824977501,0.000837055939752783,0,0.0452196717177276,0.00272808015772067,0
"g12ic_02__G12IC__gram_unit_energy__03","g12ic_02","gram_unit_energy",3,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.159135897554683,0.00150052882653282,2.90245605327755e-12,0.401795755487062,0.00469677764616958,4.07129885360291e-11
"g12ic_02__G12IC__gram_unit_energy__04","g12ic_02","gram_unit_energy",4,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0108319959687909,0.000424716718737257,0,0.0406582286028746,0.00178393006969072,0
"g12ic_02__G12IC__gram_unit_energy__05","g12ic_02","gram_unit_energy",5,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0099666673109971,0.00037799230754482,0,0.032257517038959,0.00130312462519314,0
"g12ic_02__G12IC__gram_unit_energy__06","g12ic_02","gram_unit_energy",6,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,"fitted+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0127430484234233,0.000482840613261009,0,0.0482747267346487,0.00159017638646297,0
"g12ic_02__G12IC__gram_unit_energy__07","g12ic_02","gram_unit_energy",7,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0212332401972262,0.00087841049961898,0,0.0915986655611507,0.00375283734788353,0
"g12ic_02__G12IC__gram_unit_energy__08","g12ic_02","gram_unit_energy",8,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.010703921907388,0.000431783268087698,0,0.0347043313691686,0.00141756037140717,0
"g12ic_02__G12IC__gram_unit_energy__09","g12ic_02","gram_unit_energy",9,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0190413587841036,0.00104210189908161,0,0.0881626234833961,0.0035980466439597,0
"g12ic_02__G12IC__gram_unit_energy__10","g12ic_02","gram_unit_energy",10,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00814378173329805,0.000273360935249,2.70850009087553e-12,0.028836287084987,0.000920775870300891,3.82781584207237e-11
"g12ic_02__G12IC__gram_unit_energy__11","g12ic_02","gram_unit_energy",11,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2,"rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0127487273439846,0.000411397842276263,0,0.050234346037407,0.00141518715470968,0
"g12ic_02__G12IC__gram_unit_energy__12","g12ic_02","gram_unit_energy",12,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0180372052109888,0.000461779670446512,1.99843475101602e-11,0.0549221610439498,0.00138859606637206,9.53337409015376e-11
"g12ic_03__G12IC__current_1_over_m__01","g12ic_03","current_1_over_m",1,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,"fitted+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0147453040071257,0.000177828112580432,4.59254856366442e-12,0.065991237648376,0.000579851947582373,4.16867651509278e-11
"g12ic_03__G12IC__current_1_over_m__02","g12ic_03","current_1_over_m",2,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0136599611297307,0.000198719317847686,2.79503087341482e-11,0.0445150979296549,0.000700232012144356,1.2809209248843e-10
"g12ic_03__G12IC__current_1_over_m__03","g12ic_03","current_1_over_m",3,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00603582271542313,0.000281978789919075,2.9242164245602e-12,0.0187555222155334,0.000934090143032166,4.10674827477919e-11
"g12ic_03__G12IC__current_1_over_m__04","g12ic_03","current_1_over_m",4,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0154929125581433,0.000148370694327695,2.06742400976623e-11,0.0446104243993268,0.000489054936939596,1.16510023850935e-10
"g12ic_03__G12IC__current_1_over_m__05","g12ic_03","current_1_over_m",5,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0115588200026291,0.000244044251691136,0,0.0418139179198549,0.00078176209005266,0
"g12ic_03__G12IC__current_1_over_m__06","g12ic_03","current_1_over_m",6,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.127855167378884,0.0017918868870857,0,0.446190726171654,0.00470537413643225,0
"g12ic_03__G12IC__current_1_over_m__07","g12ic_03","current_1_over_m",7,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00536199605087301,0.000209403274216961,2.9322100303375e-12,0.017757330297539,0.000703133567064302,4.14790424230205e-11
"g12ic_03__G12IC__current_1_over_m__08","g12ic_03","current_1_over_m",8,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00834342392688792,0.0002211640849739,3.14470671725076e-12,0.0271546398018399,0.000739507077616651,4.56694682071657e-11
"g12ic_03__G12IC__current_1_over_m__09","g12ic_03","current_1_over_m",9,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00576301966363946,0.000223096959926476,2.94253510446651e-12,0.0183255036531376,0.000742067534178583,4.14319689667764e-11
"g12ic_03__G12IC__current_1_over_m__10","g12ic_03","current_1_over_m",10,200,FALSE,FALSE,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"fitted | ppi_max",FALSE,TRUE,FALSE,TRUE,0.00339337551545177,0.000109609990655639,3.14470671725076e-12,0.0111817070285513,0.000348165512924715,4.56694682071657e-11
"g12ic_03__G12IC__current_1_over_m__11","g12ic_03","current_1_over_m",11,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00535735466856002,0.00020596708459276,2.92288415693065e-12,0.0175635052715032,0.000688473630048749,4.15071310655435e-11
"g12ic_03__G12IC__current_1_over_m__12","g12ic_03","current_1_over_m",12,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.016746446057343,0.000308196811477961,3.05977465586693e-12,0.0515647398368092,0.00103456844317389,4.63440397169279e-11
"g12ic_03__G12IC__gram_unit_energy__01","g12ic_03","gram_unit_energy",1,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0129624378507799,0.000244293050525536,0,0.0447929957510233,0.000792501397274219,0
"g12ic_03__G12IC__gram_unit_energy__02","g12ic_03","gram_unit_energy",2,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0132473081034636,0.000207849317948893,3.25881543972173e-11,0.0481138357178389,0.000711698568884266,1.34619315694806e-10
"g12ic_03__G12IC__gram_unit_energy__03","g12ic_03","gram_unit_energy",3,200,TRUE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.0152176343096315,0.00033620580672365,0,0.048109666104523,0.00107726900586684,0
"g12ic_03__G12IC__gram_unit_energy__04","g12ic_03","gram_unit_energy",4,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0131252926399589,0.000163179648735019,8.05067124076686e-12,0.0464661499407824,0.000542626042808112,6.99063029685476e-11
"g12ic_03__G12IC__gram_unit_energy__05","g12ic_03","gram_unit_energy",5,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0119330681739632,0.00028973474138506,0,0.0921364400825782,0.00286053934997965,0
"g12ic_03__G12IC__gram_unit_energy__06","g12ic_03","gram_unit_energy",6,200,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0128714985759542,0.000273767836444127,0,0.0423480264641223,0.00129330344196193,0
"g12ic_03__G12IC__gram_unit_energy__07","g12ic_03","gram_unit_energy",7,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00530008865049092,0.000204395905652308,2.91833224252969e-12,0.0172873114531182,0.000678758801985476,4.15348866411591e-11
"g12ic_03__G12IC__gram_unit_energy__08","g12ic_03","gram_unit_energy",8,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0170305781213212,0.000244883852481719,2.64703814423228e-11,0.0483389007809475,0.00078209833768321,1.35504829579247e-10
"g12ic_03__G12IC__gram_unit_energy__09","g12ic_03","gram_unit_energy",9,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,"fitted+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0126148862743357,0.000372900849149377,0,0.0352995895080575,0.0012618340174582,0
"g12ic_03__G12IC__gram_unit_energy__10","g12ic_03","gram_unit_energy",10,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00446190168930302,0.000217824411102161,2.93809421236801e-12,0.0146498718647796,0.000712069735291422,4.11037870406972e-11
"g12ic_03__G12IC__gram_unit_energy__11","g12ic_03","gram_unit_energy",11,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.12880395260759,0.0007140085639218,0,0.305783446735986,0.00261171655123573,0
"g12ic_03__G12IC__gram_unit_energy__12","g12ic_03","gram_unit_energy",12,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.12300216173517,0.00102785567307098,0,0.248579533963505,0.00309272323321881,0
"g12ic_04__G12IC__current_1_over_m__01","g12ic_04","current_1_over_m",1,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0425030428825267,0.00137900596447877,6.95876689604802e-12,0.179363826964159,0.00472203150407226,7.82891529382823e-11
"g12ic_04__G12IC__current_1_over_m__02","g12ic_04","current_1_over_m",2,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.284566059279559,0.000355154270300253,0,0.505877536841025,0.00124676482917519,0
"g12ic_04__G12IC__current_1_over_m__03","g12ic_04","current_1_over_m",3,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.00691590336274367,0.000205666356706472,3.18767234830375e-12,0.0225985285568495,0.000683906776894115,4.27019530846451e-11
"g12ic_04__G12IC__current_1_over_m__04","g12ic_04","current_1_over_m",4,200,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,"fitted+rss+ppi_max",FALSE,FALSE,FALSE,FALSE,0.0704057347508152,0.00105511326364354,0,0.279186533302821,0.00342488061038858,0
"g12ic_04__G12IC__current_1_over_m__05","g12ic_04","current_1_over_m",5,200,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,1,"ppi_max",FALSE,FALSE,FALSE,TRUE,0.005964269570575,0.000227838386999227,2.71793698658485e-12,0.0195897505631268,0.000761543904066868,3.82345266558559e-11
